epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2589.1,1.35758,8.36828,0.01731,0.59023,0.33064,0.33619,0.20264,1.25585,10.1344,0.01974,0.000208173,0.000208173,0.000208173
2,5427.8,1.42542,3.9902,0.01897,0.61495,0.37974,0.42506,0.26022,1.29832,3.70851,0.02053,0.000375272,0.000375272,0.000375272
3,6640.44,1.4418,2.5692,0.0196,0.66705,0.44906,0.47518,0.28526,1.30247,2.44098,0.02045,0.000501122,0.000501122,0.000501122
4,7264.73,1.42959,2.16064,0.01928,0.68328,0.48173,0.5159,0.31069,1.31607,2.16677,0.0212,0.000439375,0.000439375,0.000439375
5,8007.29,1.39285,1.91099,0.01838,0.71369,0.48782,0.53629,0.33775,1.23182,1.87867,0.01922,0.0003775,0.0003775,0.0003775
6,9533.11,1.33855,1.72838,0.01746,0.72684,0.51246,0.56109,0.36333,1.19846,1.74386,0.01821,0.000315625,0.000315625,0.000315625
7,10259.6,1.29265,1.58478,0.01657,0.71542,0.53073,0.57986,0.38175,1.18134,1.56254,0.01791,0.00025375,0.00025375,0.00025375
8,10826.4,1.23769,1.47829,0.01528,0.70943,0.55785,0.59409,0.39715,1.13534,1.50388,0.01643,0.000191875,0.000191875,0.000191875
9,11862.2,1.19727,1.39542,0.01464,0.72378,0.55756,0.6023,0.4095,1.10703,1.46977,0.01608,0.00013,0.00013,0.00013
10,12430.4,1.17222,1.3601,0.01388,0.72924,0.56015,0.60311,0.40888,1.09365,1.468,0.01574,6.8125e-05,6.8125e-05,6.8125e-05
